时间,币价,挖矿难度
"2017-06-02 00:00","223.77507019","575747699940093.9000000000",
"2017-06-03 00:00","224.37557983","597678402421173.5000000000",
"2017-06-04 00:00","245.33224487","599656274911010.6000000000",
"2017-06-05 00:00","248.46400452","615096733616106.1000000000",
"2017-06-06 00:00","264.46560669","632534102305514.1000000000",
"2017-06-07 00:00","258.07122803","640654778420922.1000000000",
"2017-06-08 00:00","261.66629028","639988327011777.9000000000",
"2017-06-09 00:00","281.73681641","662233224481304.2000000000",
"2017-06-10 00:00","337.66799927","682857346034598.4000000000",
"2017-06-11 00:00","340.60888672","676331454424026.2000000000",
"2017-06-12 00:00","401.49038696","694617337543532.6000000000",
"2017-06-13 00:00","397.53710938","713189048799357.4000000000",
"2017-06-14 00:00","359.05300903","728250481340703.1000000000",
"2017-06-15 00:00","361.93295288","737124773386925.1000000000",
"2017-06-16 00:00","370.22747803","761529525102381.9000000000",
"2017-06-17 00:00","379.41421509","769922648869763.0000000000",
"2017-06-18 00:00","371.45806885","775466020583087.0000000000",
"2017-06-19 00:00","370.05587769","847174003426858.0000000000",
"2017-06-20 00:00","359.00543213","874308762317605.4000000000",
"2017-06-21 00:00","336.87182617","872419319204179.0000000000",
"2017-06-22 00:00","336.37051392","881532422539620.2000000000",
"2017-06-23 00:00","341.73861694","888679962204642.4000000000",
"2017-06-24 00:00","323.69592285","904653518657219.2000000000",
"2017-06-25 00:00","303.2482605","923853229184680.9000000000",
"2017-06-26 00:00","272.69189453","930359199332391.8000000000",
"2017-06-27 00:00","293.08795166","950061337460525.0000000000",
"2017-06-28 00:00","327.92669678","962749040901498.9000000000",
"2017-06-29 00:00","302.88327026","972009000387636.2000000000",
"2017-06-30 00:00","294.91583252","992636469502805.8000000000",
"2017-07-01 00:00","274.60055542","1002208383109520.5000000000",
"2017-07-02 00:00","287.98687744","1012941506663035.0000000000",
"2017-07-03 00:00","282.89752197","1027254107613638.4000000000",
"2017-07-04 00:00","273.30322266","1022956030263686.8000000000",
"2017-07-05 00:00","268.77432251","1037216808572083.2000000000",
"2017-07-06 00:00","270.54934692","1038186123704267.4000000000",
"2017-07-07 00:00","245.99084473","1055962892062233.6000000000",
"2017-07-08 00:00","251.69714355","1071107527146582.5000000000",
"2017-07-09 00:00","242.13729858","1198734948519297.8000000000",
"2017-07-10 00:00","215.35661316","1214202792076233.8000000000",
"2017-07-11 00:00","197.40393066","1185958514378982.2000000000",
"2017-07-12 00:00","230.77400208","1207944603412642.0000000000",
"2017-07-13 00:00","209.73280334","1182555714991849.8000000000",
