时间,币价,平均算力
"2020-03-31 00:00","131.2131510912","175401520293770.0000000000",
"2020-04-01 00:00","139.0424371682","179394124759950.0000000000",
"2020-04-02 00:00","141.5075644192","176897176075030.0000000000",
"2020-04-03 00:00","142.0903945855","173151650046450.0000000000",
"2020-04-04 00:00","143.6343531841","175358799360120.0000000000",
"2020-04-05 00:00","160.3504647741","169175653499490.0000000000",
"2020-04-06 00:00","169.2739512017","175024913950040.0000000000",
"2020-04-07 00:00","168.9537568157","175139534547780.0000000000",
"2020-04-08 00:00","169.4900946398","175972994881340.0000000000",
"2020-04-09 00:00","153.506846879","179750071917320.0000000000",
"2020-04-10 00:00","157.544499418","172884462460360.0000000000",
"2020-04-11 00:00","161.6979907574","179002190307860.0000000000",
"2020-04-12 00:00","154.2772145075","177005142672530.0000000000",
"2020-04-13 00:00","159.5703159514","180305179052200.0000000000",
"2020-04-14 00:00","156.0101197986","179369413709530.0000000000",
"2020-04-15 00:00","172.4244739946","180761606334200.0000000000",
"2020-04-16 00:00","169.9339303099","177408583222240.0000000000",
"2020-04-17 00:00","184.1022070464","178310495979560.0000000000",
"2020-04-18 00:00","179.8352565422","174686045568580.0000000000",
"2020-04-19 00:00","179.3484706093","174348575439570.0000000000",
"2020-04-20 00:00","170.3503758251","176847120614930.0000000000",
"2020-04-21 00:00","182.3934106121","176795077150870.0000000000",
"2020-04-22 00:00","189.2630359355","180275184956370.0000000000",
"2020-04-23 00:00","187.6215739091","177249172680260.0000000000",
"2020-04-24 00:00","193.9655617951","175992475307660.0000000000",
"2020-04-25 00:00","194.1199822592","176999323997140.0000000000",
"2020-04-26 00:00","193.0421585075","173340644097160.0000000000",
"2020-04-27 00:00","195.4419900909","172854507780860.0000000000",
"2020-04-28 00:00","209.7662567497","179601305770870.0000000000",
"2020-04-29 00:00","208.9219022584","182011596067590.0000000000",
"2020-04-30 00:00","209.9807026766","187051723927970.0000000000",
"2020-05-01 00:00","212.7235380719","185523115297150.0000000000",
"2020-05-02 00:00","208.4411115451","180670762303670.0000000000",
"2020-05-03 00:00","205.8557503186","187490688869100.0000000000",
"2020-05-04 00:00","202.881412038","186877276708930.0000000000",
"2020-05-05 00:00","208.2705974096","180869803978770.0000000000",
"2020-05-06 00:00","205.5858091367","178857056571430.0000000000",
"2020-05-07 00:00","211.4094571545","182847537466040.0000000000",
"2020-05-08 00:00","212.8703792273","181432933438730.0000000000",
"2020-05-09 00:00","188.0370153245","179657032517470.0000000000",
"2020-05-10 00:00","188.128212611","180376222944760.0000000000",
"2020-05-11 00:00","190.9021174009","180019683643570.0000000000",
"2020-05-12 00:00","197.7519836592","179841921820910.0000000000",
"2020-05-13 00:00","202.5101430295","182792983090670.0000000000",
"2020-05-14 00:00","197.938581964","184976336545620.0000000000",
"2020-05-15 00:00","200.1925940256","180019214421670.0000000000",
"2020-05-16 00:00","208.7142835439","186225222377370.0000000000",
"2020-05-17 00:00","211.2343667557","179815781330640.0000000000",
"2020-05-18 00:00","212.2584880814","177249176005740.0000000000",
"2020-05-19 00:00","208.4148428347","183087785726298.0000000000",
"2020-05-20 00:00","199.3966654128","178427594831200.0000000000",
