时间,币价,链上交易量
"2018-10-13 00:00","199.84094238","1150707.7536894100",
"2018-10-14 00:00","195.7146759","3347356.8572030000",
"2018-10-15 00:00","209.70370483","2240540.2559788700",
"2018-10-16 00:00","210.11975098","1917285.5944392600",
"2018-10-17 00:00","207.0834198","2347803.0914235300",
"2018-10-18 00:00","203.35157776","1677598.3331201500",
"2018-10-19 00:00","203.72718811","1434973.8390959200",
"2018-10-20 00:00","205.42958069","1963437.0989135800",
"2018-10-21 00:00","205.14186096","1604513.5351067100",
"2018-10-22 00:00","204.04417419","1710464.8671541800",
"2018-10-23 00:00","204.33587646","1636016.0473745800",
"2018-10-24 00:00","203.85238647","2217823.1573607900",
"2018-10-25 00:00","202.71853638","1720982.8050834300",
"2018-10-26 00:00","203.32925415","993700.4289933700",
"2018-10-27 00:00","204.21002197","1014517.7839725400",
"2018-10-28 00:00","205.36631775","1984654.5424155200",
"2018-10-29 00:00","197.24705505","1674776.8417653200",
"2018-10-30 00:00","197.55596924","1743380.4264389300",
"2018-10-31 00:00","197.38092041","1622083.0634023000",
"2018-11-01 00:00","198.87228394","1881757.0157738300",
"2018-11-02 00:00","200.63468933","1092616.8213055100",
"2018-11-03 00:00","200.18605042","1530609.9951111800",
"2018-11-04 00:00","207.48579407","2362078.2341670000",
"2018-11-05 00:00","209.09129333","1865749.9642308400",
"2018-11-06 00:00","218.45233154","2124572.2705359800",
"2018-11-07 00:00","217.18313599","1725588.0564903900",
"2018-11-08 00:00","212.23146057","1654738.3331966000",
"2018-11-09 00:00","210.07443237","1108410.1765449200",
"2018-11-10 00:00","212.53291321","1119581.7343561100",
"2018-11-11 00:00","211.34011841","1867574.3768891100",
"2018-11-12 00:00","210.4178772","1699861.8576386800",
"2018-11-13 00:00","206.82575989","2988276.4073845100",
"2018-11-14 00:00","181.39659119","3160761.5912061800",
"2018-11-15 00:00","180.80636597","2245846.8532932400",
"2018-11-16 00:00","175.17703247","1400800.2561234000",
"2018-11-17 00:00","174.00112915","1896227.3694200800",
"2018-11-18 00:00","177.06741333","4835824.4934874600",
"2018-11-19 00:00","149.17459106","5668970.3511289200",
"2018-11-20 00:00","130.33856201","3816254.4357576700",
"2018-11-21 00:00","136.70149231","2659141.7614428800",
"2018-11-22 00:00","126.70603943","3055050.8817473000",
"2018-11-23 00:00","123.29551697","2267909.8307806300",
"2018-11-24 00:00","113.49375153","3954492.1335461700",
"2018-11-25 00:00","116.45040894","3414292.9080343200",
"2018-11-26 00:00","108.33450317","2857105.3908444500",
"2018-11-27 00:00","110.00997162","3377882.3739366000",
