时间,前100持仓量,前50持仓量,前30持仓量,前10持仓量
"2020-03-23 00:00","37824134.30193627","29259044.222415205","24012858.618466295","15275009.445344897",
"2020-03-24 00:00","37834911.638255306","29246691.92921041","23948267.205177028","15183485.706893977",
"2020-03-25 00:00","37761934.0946","29221164.020069264","24112371.257857192","15391263.570175692",
"2020-03-26 00:00","37749233.212262586","29282238.88357088","24186196.06159802","15464737.462666212",
"2020-03-27 00:00","37828096.17594977","29325009.214886557","24290494.85692028","15571084.911302155",
"2020-03-28 00:00","37793372.77932197","29292832.67275304","24268404.403844334","15533435.05101497",
"2020-03-29 00:00","37772181.91457746","29269186.0563338","24298575.576597974","15561690.477730338",
"2020-03-30 00:00","37825988.45434218","29323008.263060357","24397227.750813216","15648430.967016673",
"2020-03-31 00:00","37823443.63766732","29363204.02386939","24478105.547323156","15720320.161222262",
"2020-04-01 00:00","37817439.3960395","29393967.793257166","24561944.414862894","15804917.339857917",
"2020-04-02 00:00","37902686.01547103","29473800.30849138","24646820.194725897","15880154.29384031",
"2020-04-03 00:00","37639471.76497562","29231589.246490836","24441982.988797802","15977061.868519632",
"2020-04-04 00:00","37517285.88984553","29056497.244876083","24357906.794400442","15977835.736009238",
"2020-04-05 00:00","37506610.24112254","29078752.891097516","24362820.21714583","15974512.11981601",
"2020-04-06 00:00","37485244.37806667","29067666.55876974","24372406.97785109","15987845.965445997",
"2020-04-07 00:00","37504537.87817128","29023243.271648087","24325662.23630464","15973890.527479474",
"2020-04-08 00:00","37560803.21598635","29043998.539401848","24307646.98536046","15939157.962374158",
"2020-04-09 00:00","37546588.451587886","29068807.547410425","24391787.22195835","16004517.794145651",
"2020-04-10 00:00","37791056.27064922","29388632.56663436","24791140.686409503","16413069.137124356",
"2020-04-11 00:00","37859989.50399427","29478253.44524298","24866959.952401698","16472035.534553226",
"2020-04-12 00:00","37834826.265514195","29493946.315791413","24876837.49112362","16479867.191125255",
"2020-04-13 00:00","37897891.47957347","29540795.215461202","24915571.70729039","16548228.128730271",
"2020-04-14 00:00","37913804.08903389","29603747.647626765","25006301.421240024","16633271.643099904",
"2020-04-15 00:00","37850180.78046545","29573828.009832013","25024221.249882523","16638595.835845307",
"2020-04-16 00:00","37859401.87027412","29562424.25100825","25010878.99990907","16640547.8715496",
"2020-04-17 00:00","37890154.37815228","29599871.708380114","25032074.15729978","16653159.70925901",
"2020-04-18 00:00","37996817.913759425","29682570.816418156","25098161.0438466","16679564.85308111",
"2020-04-19 00:00","37954967.3981998","29656000.968562603","25102295.33138582","16669303.150290161",
"2020-04-20 00:00","37920325.52501731","29665978.92630723","25121211.249959596","16685966.334097851",
