时间,币价,持仓量
"2021-08-15 00:00","3222.0938871275","3143896.202253",
"2021-08-16 00:00","3167.6629412172","3143680.6420954997",
"2021-08-17 00:00","3107.9326468533","3143465.3920965",
"2021-08-18 00:00","3067.9391286173","3143250.1420974997",
"2021-08-19 00:00","3283.7058032328","3143250.1420974997",
"2021-08-20 00:00","3274.8925119136","3143250.1420974997",
"2021-08-21 00:00","3180.3283705965","3143250.1420974997",
"2021-08-22 00:00","3329.162909099","3142389.1421015",
"2021-08-23 00:00","3208.5280343234","3142173.8921025",
"2021-08-24 00:00","3216.7483569609","3141958.6421035",
"2021-08-25 00:00","3103.1712551549","3141743.3921045",
"2021-08-26 00:00","3240.6005677894","3141528.1421055",
"2021-08-27 00:00","3245.3616502439","3141528.1421055",
"2021-08-28 00:00","3186.7660365303","3141528.1421055",
"2021-08-29 00:00","3218.6530783126","3140882.702267",
"2021-08-30 00:00","3391.1626988467","3140667.452268",
"2021-08-31 00:00","3582.9141701932","3140452.5124275",
"2021-09-01 00:00","3760.7202865868","3140237.2624285",
"2021-09-02 00:00","3969.7729496947","3140022.3225880004",
"2021-09-03 00:00","3914.221174141","3140022.3225880004",
"2021-09-04 00:00","3908.1447694132","3140022.3225880004",
"2021-09-05 00:00","3927.9424464309","3140022.3225880004",
"2021-09-06 00:00","3460.1544924907","3139161.942909",
"2021-09-07 00:00","3415.9711022976","3138947.0030685",
"2021-09-08 00:00","3522.0356720654","3138732.063228",
"2021-09-09 00:00","3300.3496716822","3138517.1233875",
"2021-09-10 00:00","3310.3088655855","3138517.1233875",
"2021-09-11 00:00","3418.2324845168","3138517.1233875",
"2021-09-12 00:00","3205.8040462759","3137872.303866",
"2021-09-13 00:00","3390.5150683449","3137657.3640255",
"2021-09-14 00:00","3495.3770820354","3137442.4241850004",
"2021-09-15 00:00","3618.7448315849","3137227.4843444997",
"2021-09-16 00:00","3453.5464823797","3137012.544504",
"2021-09-17 00:00","3472.6787255991","3137012.544504",
"2021-09-18 00:00","3365.5524598376","3137012.544504",
"2021-09-19 00:00","3075.5565609309","3136368.035141",
"2021-09-20 00:00","3034.0174142471","3136153.4054590003",
"2021-09-21 00:00","3009.1277873549","3135938.4656185",
"2021-09-22 00:00","3099.4537418432","3135723.525778",
"2021-09-23 00:00","2874.7922161754","3135508.896096",
"2021-09-24 00:00","2932.3943833767","3135508.896096",
"2021-09-25 00:00","3066.0241353587","3135508.896096",
"2021-09-26 00:00","3070.8464451971","3134864.6968915",
"2021-09-27 00:00","2858.8596020996","3134650.0672095",
"2021-09-28 00:00","2862.8289870329","3134435.127369",
"2021-09-29 00:00","2988.0161372037","3134220.4976870003",
"2021-09-30 00:00","3237.6530814826","3134005.868005",
"2021-10-01 00:00","3392.1455336503","3134005.868005",
"2021-10-02 00:00","3409.6161637888","3134005.868005",
