时间,币价,发行量
"2020-01-31 00:00","182.1871345782","106937814.8432300000",
"2020-02-01 00:00","191.3723609315","106950909.6557300000",
"2020-02-02 00:00","188.7477917822","106963979.9682300000",
"2020-02-03 00:00","188.1324490349","106977136.0932300000",
"2020-02-04 00:00","197.5190560688","106990072.3432300000",
"2020-02-05 00:00","211.4569650608","107003128.2807300000",
"2020-02-06 00:00","221.5966176496","107016170.9057300000",
"2020-02-07 00:00","225.7852622358","107029128.7182300000",
"2020-02-08 00:00","224.6919368266","107042132.2182300000",
"2020-02-09 00:00","224.4097002027","107055336.0307300000",
"2020-02-10 00:00","226.7144123808","107068426.2807300000",
"2020-02-11 00:00","252.3383455718","107081377.5307300000",
"2020-02-12 00:00","269.1872064999","107094364.0307300000",
"2020-02-13 00:00","272.7336897697","107107376.4682300000",
"2020-02-14 00:00","280.6193775496","107120344.7182300000",
"2020-02-15 00:00","259.0722243358","107133471.4682300000",
"2020-02-16 00:00","250.6479789873","107146390.6557300000",
"2020-02-17 00:00","272.529760148","107159374.7807300000",
"2020-02-18 00:00","279.9021579842","107172513.9682300000",
"2020-02-19 00:00","256.8091552115","107185496.6557300000",
"2020-02-20 00:00","263.7995160674","107198469.0307300000",
"2020-02-21 00:00","260.7527994281","107211547.6557300000",
"2020-02-22 00:00","270.1947250783","107224632.7807300000",
"2020-02-23 00:00","268.5505450578","107237615.6557300000",
"2020-02-24 00:00","252.120796068","107250550.5932300000",
"2020-02-25 00:00","226.8888425998","107263629.8432300000",
"2020-02-26 00:00","232.3815630038","107276677.8432300000",
"2020-02-27 00:00","223.8656865874","107289703.2182300000",
"2020-02-28 00:00","223.8144441386","107302762.0932300000",
"2020-02-29 00:00","221.3874009364","107315773.0932300000",
"2020-03-01 00:00","227.7117612323","107328861.0932300000",
"2020-03-02 00:00","223.5910877873","107341887.9057300000",
"2020-03-03 00:00","223.4679105935","107354983.7182300000",
"2020-03-04 00:00","229.5960135008","107367823.8432300000",
"2020-03-05 00:00","236.9070410478","107380982.3432300000",
"2020-03-06 00:00","245.3268078936","107394084.4682300000",
"2020-03-07 00:00","216.7978706105","107407211.4057300000",
"2020-03-08 00:00","194.8924014923","107420097.4682300000",
"2020-03-09 00:00","202.4584439172","107433117.7182300000",
