时间,币价,区块大小
"2016-12-17 00:00","7.87658596","1345.3220000000",
"2016-12-18 00:00","7.86532021","1616.2512000000",
"2016-12-19 00:00","7.64382315","1536.3867000000",
"2016-12-20 00:00","7.66003942","1769.3428000000",
"2016-12-21 00:00","7.91440153","1761.9135000000",
"2016-12-22 00:00","7.58500481","1521.9669000000",
"2016-12-23 00:00","7.16614914","1360.8864000000",
"2016-12-24 00:00","7.2657733","1316.6005000000",
"2016-12-25 00:00","7.17507982","1294.1146000000",
"2016-12-26 00:00","7.27409172","1558.1457000000",
"2016-12-27 00:00","7.1708231","1530.5002000000",
"2016-12-28 00:00","7.52010679","1678.4096000000",
"2016-12-29 00:00","8.28415871","1622.8121000000",
"2016-12-30 00:00","8.15998363","1544.2593000000",
"2016-12-31 00:00","7.96909714","1390.1969000000",
"2017-01-01 00:00","8.17257118","1458.2729000000",
"2017-01-02 00:00","8.37851238","1627.4679000000",
"2017-01-03 00:00","9.72524548","1717.1321000000",
"2017-01-04 00:00","11.25155067","1675.5915000000",
"2017-01-05 00:00","10.25437069","1592.5211000000",
"2017-01-06 00:00","10.25465107","1570.1203000000",
"2017-01-07 00:00","9.8671875","1557.2945000000",
