时间,币价,出块耗时
"2016-11-27 00:00","8.99847031","14.3000000000",
"2016-11-28 00:00","8.72482395","14.4000000000",
"2016-11-29 00:00","8.17411613","14.3000000000",
"2016-11-30 00:00","8.58754253","14.3000000000",
"2016-12-01 00:00","8.4525013","14.2000000000",
"2016-12-02 00:00","7.75996161","14.0000000000",
"2016-12-03 00:00","7.92134237","14.4000000000",
"2016-12-04 00:00","7.44367933","14.4000000000",
"2016-12-05 00:00","6.82166243","14.2000000000",
"2016-12-06 00:00","7.86892748","14.2000000000",
"2016-12-07 00:00","8.38148212","14.1000000000",
"2016-12-08 00:00","8.23051453","14.3000000000",
"2016-12-09 00:00","8.44601345","14.2000000000",
"2016-12-10 00:00","8.12516308","14.2000000000",
"2016-12-11 00:00","8.19362354","14.4000000000",
"2016-12-12 00:00","8.52221107","14.2000000000",
"2016-12-13 00:00","8.4228487","14.2000000000",
"2016-12-14 00:00","8.26523495","14.4000000000",
"2016-12-15 00:00","7.82846737","14.2000000000",
"2016-12-16 00:00","7.8582139","14.1000000000",
"2016-12-17 00:00","7.87658596","14.2000000000",
"2016-12-18 00:00","7.86532021","14.3000000000",
"2016-12-19 00:00","7.64382315","14.2000000000",
"2016-12-20 00:00","7.66003942","14.2000000000",
"2016-12-21 00:00","7.91440153","14.5000000000",
"2016-12-22 00:00","7.58500481","14.5000000000",
"2016-12-23 00:00","7.16614914","14.4000000000",
"2016-12-24 00:00","7.2657733","14.1000000000",
"2016-12-25 00:00","7.17507982","14.2000000000",
"2016-12-26 00:00","7.27409172","14.4000000000",
"2016-12-27 00:00","7.1708231","14.3000000000",
"2016-12-28 00:00","7.52010679","14.2000000000",
"2016-12-29 00:00","8.28415871","14.3000000000",
"2016-12-30 00:00","8.15998363","14.4000000000",
"2016-12-31 00:00","7.96909714","14.1000000000",
"2017-01-01 00:00","8.17257118","14.3000000000",
"2017-01-02 00:00","8.37851238","14.3000000000",
"2017-01-03 00:00","9.72524548","14.1000000000",
"2017-01-04 00:00","11.25155067","14.2000000000",
"2017-01-05 00:00","10.25437069","14.4000000000",
"2017-01-06 00:00","10.25465107","14.1000000000",
"2017-01-07 00:00","9.8671875","14.2000000000",
"2017-01-08 00:00","10.2897892","14.2000000000",
"2017-01-09 00:00","10.32563591","14.3000000000",
"2017-01-10 00:00","10.54957294","14.3000000000",
"2017-01-11 00:00","9.71775723","14.3000000000",
"2017-01-12 00:00","9.86132526","14.2000000000",
"2017-01-13 00:00","9.76949883","14.2000000000",
"2017-01-14 00:00","9.6466608","14.2000000000",
"2017-01-15 00:00","9.90425682","14.3000000000",
"2017-01-16 00:00","9.63650227","14.4000000000",
"2017-01-17 00:00","10.30234909","14.2000000000",
"2017-01-18 00:00","10.22776699","14.0000000000",
"2017-01-19 00:00","10.39718246","14.5000000000",
"2017-01-20 00:00","10.60062504","14.3000000000",
"2017-01-21 00:00","10.90918159","14.2000000000",
