时间,币价,平均单笔手续费
"2016-12-27 00:00","7.1708231","0.0007277800",
"2016-12-28 00:00","7.52010679","0.0008744100",
"2016-12-29 00:00","8.28415871","0.0010056100",
"2016-12-30 00:00","8.15998363","0.0006938100",
"2016-12-31 00:00","7.96909714","0.0006522700",
"2017-01-01 00:00","8.17257118","0.0007091300",
"2017-01-02 00:00","8.37851238","0.0008771300",
"2017-01-03 00:00","9.72524548","0.0007796000",
"2017-01-04 00:00","11.25155067","0.0007028300",
"2017-01-05 00:00","10.25437069","0.0007149800",
"2017-01-06 00:00","10.25465107","0.0006919600",
"2017-01-07 00:00","9.8671875","0.0007729100",
"2017-01-08 00:00","10.2897892","0.0007776700",
"2017-01-09 00:00","10.32563591","0.0008034500",
"2017-01-10 00:00","10.54957294","0.0007658900",
"2017-01-11 00:00","9.71775723","0.0007330300",
"2017-01-12 00:00","9.86132526","0.0007039300",
"2017-01-13 00:00","9.76949883","0.0006835500",
"2017-01-14 00:00","9.6466608","0.0007181500",
"2017-01-15 00:00","9.90425682","0.0007167800",
"2017-01-16 00:00","9.63650227","0.0008446900",
"2017-01-17 00:00","10.30234909","0.0007553100",
"2017-01-18 00:00","10.22776699","0.0007173200",
"2017-01-19 00:00","10.39718246","0.0007350700",
"2017-01-20 00:00","10.60062504","0.0007081400",
"2017-01-21 00:00","10.90918159","0.0007541000",
