时间,币价,主力流入,主力流出,散户流入,散户流出,净量
"2021-07-10 09:00","2144.1145647175","5355875389.4081","-5007252336.448598","18995420560.747665","-18350077881.619938","993965732.0872275",
"2021-07-11 09:00","2090.5159399396","5665862928.348909","-5682962616.82243","18485529595.015575","-18806947040.498444","-338517133.95638627",
"2021-07-12 09:00","1998.5665738078","4651847589.424573","-4481253499.222395","22481181959.56454","-22514090202.177296","137685847.58942458",
"2021-07-13 09:00","1997.6330546892","3953358695.6521735","-3858208074.534161","22422872670.807453","-22740093167.701862","-222069875.7763975",
"2021-07-14 09:00","1917.282811389","3889144409.937888","-4039378881.9875774","21008291925.465836","-22081785714.285713","-1223728260.8695652",
"2021-07-15 09:00","1930.6339496736","3728860248.4472046","-3809796583.8509316","20961118012.42236","-21344720496.89441","-464538819.87577635",
"2021-07-16 09:00","1885.2676682805","3479462015.5038757","-3589000000","18494093023.255814","-19023488372.09302","-638933333.3333334",
"2021-07-17 09:00","1891.6997117835","3682360248.4472046","-3704018633.5403724","18688198757.763973","-19045807453.41615","-379267080.7453416",
"2021-07-18 09:00","1821.6704949003","3689502325.581395","-3686753488.3720927","19415720930.23256","-19798573643.41085","-380103875.96899223",
"2021-07-19 09:00","1809.6746643909","3307854489.164087","-3185747678.0185757","19556578947.36842","-19414721362.229103","263964396.28482974",
"2021-07-20 09:00","1953.4698385677","3665431888.544892","-3681523219.8142414","21247987616.09907","-21323715170.278637","-91818885.4489164",
"2021-07-21 09:00","2033.2398608427","4543998449.612403","-4616925581.395349","26161581395.348835","-26469581395.348835","-380927131.78294575",
"2021-07-22 09:00","2050.9849808","4257928682.1705427","-4349077519.379845","19328248062.015503","-19473751937.984497","-236652713.17829457",
"2021-07-23 09:00","2155.3187051451","4596376744.186047","-4631524031.007751","21185906976.744186","-21609426356.589146","-458666666.6666666",
"2021-07-24 09:00","2136.7169622146","4409072868.217054","-4620773643.410852","19894620155.038757","-20466542635.658913","-783623255.8139535",
"2021-07-25 09:00","2346.3284525765","5516774844.720496","-5621108695.652174","28239223602.48447","-28297763975.155277","-162874223.60248446",
"2021-07-26 09:00","2279.8816413064","5738793798.449613","-5717475968.992248","30304666666.666664","-30860790697.67442","-534806201.55038756",
"2021-07-27 09:00","2291.3443162149","5257934883.72093","-5246834108.527132","23854217054.263565","-24445426356.589146","-580108527.1317829",
"2021-07-28 09:00","2323.1787917174","5003300775.193798","-5193066666.666667","20857271317.829456","-21465472868.217052","-797967441.860465",
"2021-07-29 09:00","2347.0534339515","5536638198.757764","-5620071428.571428","23854270186.335403","-24230357142.85714","-459520186.3354037",
"2021-07-30 09:00","2458.4847808272","5540756211.180124","-5666616459.627329","21638074534.161488","-22531195652.173912","-1018981366.4596273",
