时间,币价,交易笔数
"2016-10-26 00:00","11.53199673","44353.0000000000",
"2016-10-27 00:00","11.49969292","41522.0000000000",
"2016-10-28 00:00","11.08507824","40011.0000000000",
"2016-10-29 00:00","10.44459438","39435.0000000000",
"2016-10-30 00:00","11.18276787","45031.0000000000",
"2016-10-31 00:00","10.99822712","49025.0000000000",
"2016-11-01 00:00","10.76613426","43519.0000000000",
"2016-11-02 00:00","10.75260258","42346.0000000000",
"2016-11-03 00:00","10.80099678","32572.0000000000",
"2016-11-04 00:00","11.09069157","37690.0000000000",
"2016-11-05 00:00","11.0025177","34391.0000000000",
"2016-11-06 00:00","10.87350655","41941.0000000000",
"2016-11-07 00:00","10.80883884","41569.0000000000",
"2016-11-08 00:00","10.83365059","40517.0000000000",
"2016-11-09 00:00","10.65554047","40164.0000000000",
"2016-11-10 00:00","10.52449417","41070.0000000000",
"2016-11-11 00:00","10.28994465","40882.0000000000",
"2016-11-12 00:00","9.87795925","43673.0000000000",
"2016-11-13 00:00","10.10153484","43876.0000000000",
"2016-11-14 00:00","9.96647644","45330.0000000000",
"2016-11-15 00:00","10.21750355","41684.0000000000",
"2016-11-16 00:00","10.05912781","40738.0000000000",
"2016-11-17 00:00","9.99117851","43785.0000000000",
"2016-11-18 00:00","9.47615719","39289.0000000000",
"2016-11-19 00:00","9.66276073","42125.0000000000",
"2016-11-20 00:00","9.57928467","42735.0000000000",
"2016-11-21 00:00","9.62081528","53585.0000000000",
"2016-11-22 00:00","9.9057169","64289.0000000000",
"2016-11-23 00:00","9.84361649","36861.0000000000",
"2016-11-24 00:00","9.23167324","58075.0000000000",
"2016-11-25 00:00","9.40205097","40804.0000000000",
"2016-11-26 00:00","9.3281126","44449.0000000000",
"2016-11-27 00:00","8.99847031","48388.0000000000",
"2016-11-28 00:00","8.72482395","47036.0000000000",
"2016-11-29 00:00","8.17411613","39178.0000000000",
"2016-11-30 00:00","8.58754253","37121.0000000000",
"2016-12-01 00:00","8.4525013","41642.0000000000",
"2016-12-02 00:00","7.75996161","41357.0000000000",
"2016-12-03 00:00","7.92134237","39643.0000000000",
"2016-12-04 00:00","7.44367933","41613.0000000000",
"2016-12-05 00:00","6.82166243","48200.0000000000",
"2016-12-06 00:00","7.86892748","41757.0000000000",
"2016-12-07 00:00","8.38148212","39587.0000000000",
"2016-12-08 00:00","8.23051453","41444.0000000000",
"2016-12-09 00:00","8.44601345","40564.0000000000",
"2016-12-10 00:00","8.12516308","39164.0000000000",
"2016-12-11 00:00","8.19362354","38741.0000000000",
"2016-12-12 00:00","8.52221107","44664.0000000000",
"2016-12-13 00:00","8.4228487","47294.0000000000",
"2016-12-14 00:00","8.26523495","46102.0000000000",
"2016-12-15 00:00","7.82846737","43953.0000000000",
"2016-12-16 00:00","7.8582139","39442.0000000000",
"2016-12-17 00:00","7.87658596","36640.0000000000",
"2016-12-18 00:00","7.86532021","45599.0000000000",
"2016-12-19 00:00","7.64382315","44241.0000000000",
"2016-12-20 00:00","7.66003942","50793.0000000000",
"2016-12-21 00:00","7.91440153","55173.0000000000",
"2016-12-22 00:00","7.58500481","44391.0000000000",
"2016-12-23 00:00","7.16614914","37757.0000000000",
"2016-12-24 00:00","7.2657733","36601.0000000000",
"2016-12-25 00:00","7.17507982","34565.0000000000",
"2016-12-26 00:00","7.27409172","42370.0000000000",
"2016-12-27 00:00","7.1708231","43386.0000000000",
"2016-12-28 00:00","7.52010679","46546.0000000000",
