时间,币价,挖币数量
"2016-10-15 00:00","11.98343563","30458.0000000000",
"2016-10-16 00:00","11.9515667","29978.0000000000",
"2016-10-17 00:00","12.0050087","30810.0000000000",
"2016-10-18 00:00","12.58848763","29146.0000000000",
"2016-10-19 00:00","12.02256203","31676.0000000000",
"2016-10-20 00:00","12.098979","30599.0000000000",
"2016-10-21 00:00","12.17536449","30299.0000000000",
"2016-10-22 00:00","12.07148743","30051.0000000000",
"2016-10-23 00:00","12.03603363","30449.0000000000",
"2016-10-24 00:00","11.96895885","30249.0000000000",
"2016-10-25 00:00","11.41400719","30580.0000000000",
"2016-10-26 00:00","11.53199673","30183.0000000000",
"2016-10-27 00:00","11.49969292","29810.0000000000",
"2016-10-28 00:00","11.08507824","28427.0000000000",
"2016-10-29 00:00","10.44459438","30398.0000000000",
"2016-10-30 00:00","11.18276787","30561.0000000000",
"2016-10-31 00:00","10.99822712","29292.0000000000",
"2016-11-01 00:00","10.76613426","29848.0000000000",
"2016-11-02 00:00","10.75260258","29843.0000000000",
"2016-11-03 00:00","10.80099678","29602.0000000000",
"2016-11-04 00:00","11.09069157","30067.0000000000",
"2016-11-05 00:00","11.0025177","30359.0000000000",
"2016-11-06 00:00","10.87350655","31677.0000000000",
"2016-11-07 00:00","10.80883884","30893.0000000000",
"2016-11-08 00:00","10.83365059","29714.0000000000",
"2016-11-09 00:00","10.65554047","29925.0000000000",
"2016-11-10 00:00","10.52449417","30064.0000000000",
"2016-11-11 00:00","10.28994465","30526.0000000000",
"2016-11-12 00:00","9.87795925","31110.0000000000",
"2016-11-13 00:00","10.10153484","30440.0000000000",
"2016-11-14 00:00","9.96647644","30128.0000000000",
"2016-11-15 00:00","10.21750355","30318.0000000000",
"2016-11-16 00:00","10.05912781","29435.0000000000",
"2016-11-17 00:00","9.99117851","31552.0000000000",
"2016-11-18 00:00","9.47615719","30845.0000000000",
"2016-11-19 00:00","9.66276073","30994.0000000000",
"2016-11-20 00:00","9.57928467","30462.0000000000",
"2016-11-21 00:00","9.62081528","29714.0000000000",
"2016-11-22 00:00","9.9057169","29410.0000000000",
"2016-11-23 00:00","9.84361649","29752.0000000000",
"2016-11-24 00:00","9.23167324","30744.0000000000",
"2016-11-25 00:00","9.40205097","29884.0000000000",
"2016-11-26 00:00","9.3281126","30012.0000000000",
"2016-11-27 00:00","8.99847031","30494.0000000000",
"2016-11-28 00:00","8.72482395","30173.0000000000",
"2016-11-29 00:00","8.17411613","30408.0000000000",
"2016-11-30 00:00","8.58754253","30377.0000000000",
"2016-12-01 00:00","8.4525013","30465.0000000000",
"2016-12-02 00:00","7.75996161","30884.0000000000",
"2016-12-03 00:00","7.92134237","29996.0000000000",
"2016-12-04 00:00","7.44367933","30105.0000000000",
"2016-12-05 00:00","6.82166243","30545.0000000000",
"2016-12-06 00:00","7.86892748","30458.0000000000",
"2016-12-07 00:00","8.38148212","31482.0000000000",
"2016-12-08 00:00","8.23051453","30343.0000000000",
"2016-12-09 00:00","8.44601345","30461.0000000000",
"2016-12-10 00:00","8.12516308","30583.0000000000",
"2016-12-11 00:00","8.19362354","30086.0000000000",
"2016-12-12 00:00","8.52221107","30445.0000000000",
"2016-12-13 00:00","8.4228487","30498.0000000000",
"2016-12-14 00:00","8.26523495","30099.0000000000",
"2016-12-15 00:00","7.82846737","30465.0000000000",
"2016-12-16 00:00","7.8582139","30674.0000000000",
"2016-12-17 00:00","7.87658596","30569.0000000000",
"2016-12-18 00:00","7.86532021","30254.0000000000",
"2016-12-19 00:00","7.64382315","30447.0000000000",
"2016-12-20 00:00","7.66003942","30459.0000000000",
"2016-12-21 00:00","7.91440153","29875.0000000000",
"2016-12-22 00:00","7.58500481","29858.0000000000",
"2016-12-23 00:00","7.16614914","30112.0000000000",
"2016-12-24 00:00","7.2657733","30720.0000000000",
"2016-12-25 00:00","7.17507982","30410.0000000000",
"2016-12-26 00:00","7.27409172","30080.0000000000",
"2016-12-27 00:00","7.1708231","30368.0000000000",
"2016-12-28 00:00","7.52010679","30512.0000000000",
"2016-12-29 00:00","8.28415871","30419.0000000000",
"2016-12-30 00:00","8.15998363","30049.0000000000",
"2016-12-31 00:00","7.96909714","30632.0000000000",
"2017-01-01 00:00","8.17257118","30373.0000000000",
"2017-01-02 00:00","8.37851238","30275.0000000000",
