date,avg_computing_power
2019-02-21 00:00,150085495942770.0000000000
2019-02-22 00:00,160000186022460.0000000000
2019-02-23 00:00,156166198164380.0000000000
2019-02-24 00:00,154098124666200.0000000000
2019-02-25 00:00,156448060101130.0000000000
2019-02-26 00:00,156100234592790.0000000000
2019-02-27 00:00,157678257435960.0000000000
2019-02-28 00:00,152998838942010.0000000000
2019-03-01 00:00,153087945298120.0000000000
2019-03-02 00:00,151523383958580.0000000000
2019-03-03 00:00,150437211268352.0000000000
2019-03-04 00:00,152785823746570.0000000000
2019-03-05 00:00,151327641750480.0000000000
2019-03-06 00:00,151872885301850.0000000000
2019-03-07 00:00,153459218252730.0000000000
2019-03-08 00:00,148658083425030.0000000000
2019-03-09 00:00,152282556586770.0000000000
2019-03-10 00:00,148704118737090.0000000000
2019-03-11 00:00,147942780115460.0000000000
2019-03-12 00:00,146442848219200.0000000000
2019-03-13 00:00,147583348253000.0000000000
2019-03-14 00:00,147373688909800.0000000000
2019-03-15 00:00,153103055631180.0000000000
2019-03-16 00:00,150858129954050.0000000000
2019-03-17 00:00,148624614626100.0000000000
2019-03-18 00:00,144228463434320.0000000000
2019-03-19 00:00,150207921759330.0000000000
2019-03-20 00:00,148054045403720.0000000000
2019-03-21 00:00,146791356737560.0000000000
2019-03-22 00:00,147436844545370.0000000000
2019-03-23 00:00,147249010638840.0000000000
2019-03-24 00:00,147005410403620.0000000000
2019-03-25 00:00,142480795223220.0000000000
2019-03-26 00:00,141591603994360.0000000000
2019-03-27 00:00,141422943475310.0000000000
2019-03-28 00:00,141971090093478.0000000000
2019-03-29 00:00,136776643271240.0000000000
2019-03-30 00:00,137783667463100.0000000000
2019-03-31 00:00,145050515677710.0000000000
2019-04-01 00:00,143405471800610.0000000000
2019-04-02 00:00,142103799034470.0000000000
2019-04-03 00:00,146661991319370.0000000000
2019-04-04 00:00,145447232435150.0000000000
2019-04-05 00:00,146621797936280.0000000000
2019-04-06 00:00,145747487681340.0000000000
2019-04-07 00:00,146570253107240.0000000000
2019-04-08 00:00,147738692607320.0000000000
2019-04-09 00:00,151047005783680.0000000000
2019-04-10 00:00,150411686110460.0000000000
2019-04-11 00:00,149356785800860.0000000000
2019-04-12 00:00,152087701667320.0000000000
2019-04-13 00:00,153894211976130.0000000000
2019-04-14 00:00,154385510947430.0000000000
2019-04-15 00:00,151772839285300.0000000000
2019-04-16 00:00,147992682732590.0000000000
2019-04-17 00:00,147580719366330.0000000000
2019-04-18 00:00,150836508860450.0000000000
2019-04-19 00:00,149413949587750.0000000000
2019-04-20 00:00,150568560610540.0000000000
2019-04-21 00:00,152194902826650.0000000000
2019-04-22 00:00,150501460922570.0000000000
2019-04-23 00:00,147637501088070.0000000000
2019-04-24 00:00,148050520316693.0000000000
2019-04-25 00:00,148901593973070.0000000000
2019-04-26 00:00,151590777735700.0000000000
2019-04-27 00:00,150038077493240.0000000000
2019-04-28 00:00,152497658194230.0000000000
2019-04-29 00:00,154034583769540.0000000000
2019-04-30 00:00,153702048663930.0000000000
2019-05-01 00:00,152303249840320.0000000000
2019-05-02 00:00,149725870708390.0000000000
2019-05-03 00:00,157291493595370.0000000000
2019-05-04 00:00,156282749065380.0000000000
2019-05-05 00:00,152372842116640.0000000000
2019-05-06 00:00,155270100115040.0000000000
2019-05-07 00:00,153736147693580.0000000000
2019-05-08 00:00,154248231092770.0000000000
2019-05-09 00:00,154756310777680.0000000000
2019-05-10 00:00,155015475961900.0000000000
2019-05-11 00:00,157769814036250.0000000000
2019-05-12 00:00,155751304729580.0000000000
2019-05-13 00:00,160905303276590.0000000000
2019-05-14 00:00,163003425245900.0000000000
2019-05-15 00:00,161371049411188.0000000000
2019-05-16 00:00,170925204692330.0000000000
2019-05-17 00:00,171703165336650.0000000000
2019-05-18 00:00,168195812561070.0000000000
2019-05-19 00:00,165527407555750.0000000000
2019-05-20 00:00,163075802797850.0000000000
2019-05-21 00:00,164934016356790.0000000000
2019-05-22 00:00,162417334038950.0000000000
2019-05-23 00:00,159709607004210.0000000000
2019-05-24 00:00,162221486972040.0000000000
2019-05-25 00:00,161020293963160.0000000000
