date,new_addresses
2017-06-13 00:00,54626.0000000000
2017-06-14 00:00,53402.0000000000
2017-06-15 00:00,49098.0000000000
2017-06-16 00:00,47147.0000000000
2017-06-17 00:00,53221.0000000000
2017-06-18 00:00,62768.0000000000
2017-06-19 00:00,62049.0000000000
2017-06-20 00:00,32892.0000000000
2017-06-21 00:00,56858.0000000000
2017-06-22 00:00,57229.0000000000
2017-06-23 00:00,50065.0000000000
2017-06-24 00:00,44267.0000000000
2017-06-25 00:00,52147.0000000000
2017-06-26 00:00,41509.0000000000
2017-06-27 00:00,51111.0000000000
2017-06-28 00:00,50863.0000000000
2017-06-29 00:00,47627.0000000000
2017-06-30 00:00,36826.0000000000
2017-07-01 00:00,34177.0000000000
2017-07-02 00:00,53837.0000000000
2017-07-03 00:00,45235.0000000000
2017-07-04 00:00,47039.0000000000
2017-07-05 00:00,37421.0000000000
2017-07-06 00:00,40823.0000000000
2017-07-07 00:00,40474.0000000000
2017-07-08 00:00,34828.0000000000
2017-07-09 00:00,38371.0000000000
2017-07-10 00:00,45596.0000000000
2017-07-11 00:00,43620.0000000000
2017-07-12 00:00,46971.0000000000
2017-07-13 00:00,33430.0000000000
2017-07-14 00:00,28943.0000000000
2017-07-15 00:00,35197.0000000000
2017-07-16 00:00,39311.0000000000
2017-07-17 00:00,51034.0000000000
2017-07-18 00:00,37548.0000000000
2017-07-19 00:00,40178.0000000000
2017-07-20 00:00,40011.0000000000
2017-07-21 00:00,28241.0000000000
2017-07-22 00:00,37656.0000000000
2017-07-23 00:00,39208.0000000000
2017-07-24 00:00,42111.0000000000
2017-07-25 00:00,35799.0000000000
2017-07-26 00:00,31928.0000000000
2017-07-27 00:00,34497.0000000000
2017-07-28 00:00,27343.0000000000
2017-07-29 00:00,30901.0000000000
2017-07-30 00:00,37054.0000000000
2017-07-31 00:00,39891.0000000000
2017-08-01 00:00,40405.0000000000
2017-08-02 00:00,42585.0000000000
2017-08-03 00:00,40141.0000000000
2017-08-04 00:00,39511.0000000000
2017-08-05 00:00,47577.0000000000
2017-08-06 00:00,53726.0000000000
2017-08-07 00:00,55598.0000000000
2017-08-08 00:00,54059.0000000000
2017-08-09 00:00,60991.0000000000
2017-08-10 00:00,62185.0000000000
2017-08-11 00:00,60221.0000000000
2017-08-12 00:00,64297.0000000000
2017-08-13 00:00,80028.0000000000
2017-08-14 00:00,89611.0000000000
2017-08-15 00:00,58897.0000000000
2017-08-16 00:00,70884.0000000000
2017-08-17 00:00,73503.0000000000
2017-08-18 00:00,64725.0000000000
