,margin_call_s,margin_call_m,margin_call_l,margin_call_x,short_margin_call,long_margin_call,date
289,5767496.5,15306973.0,846640.94,0.0,16478847.94,5442262.5,2021-04-09 00:00
290,12858266.3,45848335.7,3365929.2,0.0,60328828.2,1743703.0,2021-04-10 00:00
291,5883530.8,19999795.0,1906218.8,0.0,24175390.8,3614153.8,2021-04-11 00:00
292,2472170.1,4851254.4,0.0,0.0,5709108.2,1614316.2999999998,2021-04-12 00:00
293,2098126.6,7115361.8,1054129.2,0.0,3707604.4,6560013.2,2021-04-13 00:00
294,4238902.45,13298199.8,2666882.5,0.0,17444435.7,2759549.05,2021-04-14 00:00
295,1654394.2,5570554.9,832374.4,0.0,2161981.6,5895341.9,2021-04-15 00:00
296,4665667.53,12505304.34,0.0,0.0,16696900.0,474071.87,2021-04-16 00:00
297,1950144.03,2849629.76,873269.75,0.0,4985981.95,687061.5900000001,2021-04-17 00:00
298,12596140.94,43100106.75,2634786.8,0.0,57061677.8,1269356.69,2021-04-18 00:00
299,2379405.34,6394206.2,0.0,0.0,5820927.1,2952684.44,2021-04-19 00:00
300,17200988.9,59414978.2,3621567.0,0.0,75857520.0,4380014.1,2021-04-20 00:00
301,1981131.7,4403838.9,0.0,0.0,2240871.5,4144099.1,2021-04-21 00:00
302,2347265.7,7900039.7,870172.1,0.0,4327442.4,6790035.1,2021-04-22 00:00
303,1621639.26,3161709.0,0.0,0.0,2788549.06,1994799.2,2021-04-23 00:00
304,3220881.4,8456754.5,1883589.5,0.0,6601360.2,6959865.2,2021-04-24 00:00
305,3629592.8,6803933.6,0.0,0.0,3190166.4000000004,7243360.0,2021-04-25 00:00
306,5861589.1,22434811.0,963079.0,0.0,25445804.5,3813674.6,2021-04-26 00:00
307,6171664.8,16366810.5,990311.2,0.0,8186109.3,15342677.2,2021-04-27 00:00
308,8826251.8,24490069.0,4978692.2,0.0,16611015.0,21683998.0,2021-04-28 00:00
309,10499071.0,24250417.0,0.0,0.0,17261529.0,17487959.0,2021-04-29 00:00
