date,avg_gas_cost
2019-12-16 00:00,5611297066.1350000000
2019-12-17 00:00,4828569526.1012000000
2019-12-18 00:00,3833518438.1601000000
2019-12-19 00:00,4167304087.4865000000
2019-12-20 00:00,2958600552.5490000000
2019-12-21 00:00,2985892435.2129000000
2019-12-22 00:00,3927290459.5398000000
2019-12-23 00:00,3373200246.3794000000
2019-12-24 00:00,3209311150.0178000000
2019-12-25 00:00,3235382278.3469000000
2019-12-26 00:00,3126319950.3893000000
2019-12-27 00:00,2868334955.1234000000
2019-12-28 00:00,2666583391.5934000000
2019-12-29 00:00,3002886653.5757000000
2019-12-30 00:00,3040208177.3613000000
2019-12-31 00:00,2731632918.2779000000
2020-01-01 00:00,2782268265.4916000000
2020-01-02 00:00,2680519327.9273000000
2020-01-03 00:00,2559395569.0314000000
2020-01-04 00:00,2517574281.4348000000
2020-01-05 00:00,2744455545.4476000000
2020-01-06 00:00,2638404813.8454000000
2020-01-07 00:00,3217925045.2282000000
2020-01-08 00:00,2768651627.5041000000
2020-01-09 00:00,3150379455.6596000000
2020-01-10 00:00,2698720834.6726000000
2020-01-11 00:00,2675133001.2654000000
2020-01-12 00:00,2807667003.4141000000
2020-01-13 00:00,3133955775.8829000000
2020-01-14 00:00,2849663616.0254000000
2020-01-15 00:00,2701339058.1851000000
2020-01-16 00:00,2905430595.7606000000
2020-01-17 00:00,2755882698.4250000000
2020-01-18 00:00,2667051308.2342000000
2020-01-19 00:00,2638963661.2110000000
2020-01-20 00:00,2665349052.0288000000
2020-01-21 00:00,2434092982.0780000000
2020-01-22 00:00,2452432741.7215000000
2020-01-23 00:00,2691807756.9897000000
2020-01-24 00:00,2538508505.5974000000
2020-01-25 00:00,2611116456.5844000000
2020-01-26 00:00,2563457670.6552000000
2020-01-27 00:00,2678508971.8243000000
2020-01-28 00:00,2649575513.9808000000
2020-01-29 00:00,2763536761.4890000000
2020-01-30 00:00,2768596362.2623000000
2020-01-31 00:00,2643040779.7381000000
2020-02-01 00:00,2569696844.6278000000
2020-02-02 00:00,2626126516.0624000000
2020-02-03 00:00,3031515920.3058000000
2020-02-04 00:00,3414163791.0708000000
2020-02-05 00:00,3891510421.4475000000
2020-02-06 00:00,3886466181.2690000000
2020-02-07 00:00,2865479299.7303000000
2020-02-08 00:00,2634415601.7620000000
2020-02-09 00:00,2944178822.0170000000
2020-02-10 00:00,3023242663.7208000000
2020-02-11 00:00,3983371299.8495000000
2020-02-12 00:00,3882716254.6784000000
2020-02-13 00:00,3650914589.5384000000
2020-02-14 00:00,3594613550.2971000000
2020-02-15 00:00,3906658720.6934000000
2020-02-16 00:00,3709698971.2075000000
2020-02-17 00:00,3330952044.9529000000
2020-02-18 00:00,3471787218.2605000000
2020-02-19 00:00,3396420402.4952000000
2020-02-20 00:00,2747285222.2110000000
2020-02-21 00:00,2671136319.9217000000
2020-02-22 00:00,2680139896.9072000000
2020-02-23 00:00,2890450739.8039000000
2020-02-24 00:00,3205557109.5595000000
2020-02-25 00:00,4246734188.6164000000
2020-02-26 00:00,3598698005.6942000000
2020-02-27 00:00,3412006714.0220000000
2020-02-28 00:00,2692725091.2218000000
2020-02-29 00:00,2797472692.4721000000
2020-03-01 00:00,2824505779.6821000000
2020-03-02 00:00,2880028833.0094000000
2020-03-03 00:00,3027054336.4132000000
2020-03-04 00:00,3437859654.3709000000
2020-03-05 00:00,3030314842.7080000000
2020-03-06 00:00,2874641396.9422000000
2020-03-07 00:00,4114600029.6352000000
2020-03-08 00:00,5578593717.9935000000
2020-03-09 00:00,3574490167.0317000000
