date,supply
2019-03-24 00:00,103012246.0932300000
2019-03-25 00:00,103024993.7807300000
2019-03-26 00:00,103037940.3432300000
2019-03-27 00:00,103050718.3432300000
2019-03-28 00:00,103063486.2182300000
2019-03-29 00:00,103076260.3432300000
2019-03-30 00:00,103089125.4057300000
2019-03-31 00:00,103101996.9682300000
2019-04-01 00:00,103114745.0932300000
2019-04-02 00:00,103127449.9682300000
2019-04-03 00:00,103140297.0307300000
2019-04-04 00:00,103153180.5932300000
2019-04-05 00:00,103166110.9682300000
2019-04-06 00:00,103179089.9057300000
2019-04-07 00:00,103192002.9682300000
2019-04-08 00:00,103204892.0307300000
2019-04-09 00:00,103217832.9057300000
2019-04-10 00:00,103230630.7182300000
2019-04-11 00:00,103243498.7807300000
2019-04-12 00:00,103256492.4057300000
2019-04-13 00:00,103269365.5932300000
2019-04-14 00:00,103282282.4682300000
2019-04-15 00:00,103295130.0307300000
2019-04-16 00:00,103307922.2807300000
2019-04-17 00:00,103320763.9682300000
2019-04-18 00:00,103333691.6557300000
2019-04-19 00:00,103346464.4057300000
2019-04-20 00:00,103359417.8432300000
2019-04-21 00:00,103372305.5932300000
2019-04-22 00:00,103384932.7182300000
2019-04-23 00:00,103397747.2182300000
2019-04-24 00:00,103410707.2182300000
2019-04-25 00:00,103423644.9682300000
2019-04-26 00:00,103436624.3432300000
2019-04-27 00:00,103449433.0307300000
2019-04-28 00:00,103462365.9682300000
2019-04-29 00:00,103475220.4057300000
2019-04-30 00:00,103488178.8432300000
2019-05-01 00:00,103501091.0932300000
2019-05-02 00:00,103513803.0932300000
2019-05-03 00:00,103526891.7182300000
2019-05-04 00:00,103539695.5932300000
2019-05-05 00:00,103552445.2807300000
2019-05-06 00:00,103565266.4682300000
2019-05-07 00:00,103577971.7182300000
2019-05-08 00:00,103590732.9057300000
2019-05-09 00:00,103603642.5932300000
2019-05-10 00:00,103616464.2807300000
2019-05-11 00:00,103629376.0307300000
2019-05-12 00:00,103642126.7807300000
2019-05-13 00:00,103655095.6557300000
2019-05-14 00:00,103668065.2182300000
2019-05-15 00:00,103680782.4057300000
2019-05-16 00:00,103693694.0932300000
2019-05-17 00:00,103706526.7807300000
2019-05-18 00:00,103719329.0932300000
2019-05-19 00:00,103732056.9682300000
2019-05-20 00:00,103744766.3432300000
2019-05-21 00:00,103757599.9682300000
2019-05-22 00:00,103770289.9682300000
2019-05-23 00:00,103783104.1557300000
2019-05-24 00:00,103796182.9057300000
2019-05-25 00:00,103809068.9682300000
2019-05-26 00:00,103821885.1557300000
2019-05-27 00:00,103834600.0932300000
2019-05-28 00:00,103847700.5932300000
2019-05-29 00:00,103860331.5932300000
2019-05-30 00:00,103873313.4057300000
2019-05-31 00:00,103886079.5932300000
2019-06-01 00:00,103898880.6557300000
2019-06-02 00:00,103911556.7182300000
2019-06-03 00:00,103924387.6557300000
2019-06-04 00:00,103937216.3432300000
2019-06-05 00:00,103950150.0932300000
2019-06-06 00:00,103962870.7807300000
2019-06-07 00:00,103975575.0932300000
2019-06-08 00:00,103988339.2182300000
2019-06-09 00:00,104001265.7807300000
2019-06-10 00:00,104014034.5932300000
2019-06-11 00:00,104026667.0307300000
2019-06-12 00:00,104039392.4682300000
2019-06-13 00:00,104052112.2182300000
2019-06-14 00:00,104064736.0307300000
2019-06-15 00:00,104077530.7182300000
2019-06-16 00:00,104090134.4057300000
2019-06-17 00:00,104102763.7182300000
2019-06-18 00:00,104115580.5307300000
2019-06-19 00:00,104127972.9057300000
2019-06-20 00:00,104140757.0932300000
2019-06-21 00:00,104155079.9682300000
2019-06-22 00:00,104167912.0307300000
2019-06-23 00:00,104180814.2182300000
2019-06-24 00:00,104193688.0307300000
2019-06-25 00:00,104206560.9682300000
2019-06-26 00:00,104219363.8432300000
2019-06-27 00:00,104232185.5307300000
2019-06-28 00:00,104245080.2807300000
2019-06-29 00:00,104257961.7182300000
2019-06-30 00:00,104270857.9057300000
2019-07-01 00:00,104283702.4057300000
2019-07-02 00:00,104296524.5932300000
2019-07-03 00:00,104309366.7807300000
2019-07-04 00:00,104322153.3432300000
2019-07-05 00:00,104335149.7807300000
2019-07-06 00:00,104348110.5307300000
2019-07-07 00:00,104360978.9057300000
2019-07-08 00:00,104373875.2807300000
2019-07-09 00:00,104386780.0932300000
2019-07-10 00:00,104399682.6557300000
2019-07-11 00:00,104412391.4057300000
2019-07-12 00:00,104425296.3432300000
2019-07-13 00:00,104438373.5932300000
2019-07-14 00:00,104451095.5932300000
2019-07-15 00:00,104463765.9682300000
2019-07-16 00:00,104476561.0932300000
2019-07-17 00:00,104489544.8432300000
2019-07-18 00:00,104502301.1557300000
2019-07-19 00:00,104515335.2182300000
2019-07-20 00:00,104528166.1557300000
2019-07-21 00:00,104541154.4057300000
2019-07-22 00:00,104554134.7182300000
2019-07-23 00:00,104567036.1557300000
2019-07-24 00:00,104579783.4682300000
2019-07-25 00:00,104592714.0307300000
2019-07-26 00:00,104605694.8432300000
2019-07-27 00:00,104618634.9682300000
2019-07-28 00:00,104631419.8432300000
2019-07-29 00:00,104644451.0932300000
2019-07-30 00:00,104657287.2182300000
2019-07-31 00:00,104670004.5307300000
2019-08-01 00:00,104683054.4057300000
2019-08-02 00:00,104696025.7182300000
2019-08-03 00:00,104708922.5307300000
2019-08-04 00:00,104721840.5932300000
2019-08-05 00:00,104734766.6557300000
2019-08-06 00:00,104747757.4682300000
2019-08-07 00:00,104760553.3432300000
2019-08-08 00:00,104773419.2807300000
2019-08-09 00:00,104786438.5932300000
2019-08-10 00:00,104799310.0932300000
2019-08-11 00:00,104812304.2807300000
2019-08-12 00:00,104825184.4682300000
