date,daily_block_reward
2017-04-13 00:00,1390488.1429000000
2017-04-14 00:00,1368145.8127000000
2017-04-15 00:00,1425083.2107000000
2017-04-16 00:00,1421704.9092000000
2017-04-17 00:00,1489002.6090000000
2017-04-18 00:00,1459213.4624000000
2017-04-19 00:00,1437505.7819000000
2017-04-20 00:00,1447930.8484000000
2017-04-21 00:00,1415833.7529000000
2017-04-22 00:00,1424395.0176000000
2017-04-23 00:00,1439441.5024000000
2017-04-24 00:00,1480408.2334000000
2017-04-25 00:00,1484766.9686000000
2017-04-26 00:00,1660795.8131000000
2017-04-27 00:00,1845186.6590000000
2017-04-28 00:00,1988726.7322000000
2017-04-29 00:00,2035885.3360000000
2017-04-30 00:00,2175327.6841000000
2017-05-01 00:00,2204650.3055000000
2017-05-02 00:00,2271744.8952000000
2017-05-03 00:00,2554856.5851000000
2017-05-04 00:00,2827062.2593000000
2017-05-05 00:00,2682394.9836000000
2017-05-06 00:00,2782111.5738000000
2017-05-07 00:00,2641284.5148000000
2017-05-08 00:00,2542982.5070000000
2017-05-09 00:00,2513666.9931000000
2017-05-10 00:00,2593800.5692000000
2017-05-11 00:00,2613254.2384000000
2017-05-12 00:00,2492319.6156000000
2017-05-13 00:00,2444734.5345000000
2017-05-14 00:00,2530585.0531000000
2017-05-15 00:00,2482033.1668000000
2017-05-16 00:00,2425225.3088000000
2017-05-17 00:00,2595248.5640000000
2017-05-18 00:00,3217597.8621000000
2017-05-19 00:00,3564285.6940000000
2017-05-20 00:00,3862135.9829000000
2017-05-21 00:00,5154923.0284000000
2017-05-22 00:00,5013489.8062000000
2017-05-23 00:00,5308097.2459000000
2017-05-25 00:00,5620847.4068000000
2017-05-26 00:00,4970495.5891000000
2017-05-27 00:00,4429637.0183000000
2017-05-28 00:00,4474193.5567000000
2017-05-29 00:00,5263281.6337000000
2017-05-30 00:00,5707142.9110000000
2017-05-31 00:00,6137675.5748000000
2017-06-01 00:00,5729468.5543000000
2017-06-02 00:00,5820244.1368000000
2017-06-03 00:00,5822350.4715000000
2017-06-04 00:00,6580209.0663000000
2017-06-05 00:00,6538772.8862000000
2017-06-06 00:00,6918362.5164000000
2017-06-07 00:00,6847992.8027000000
2017-06-08 00:00,6783745.3511000000
2017-06-09 00:00,7431207.4544000000
2017-06-10 00:00,8393446.2545000000
2017-06-11 00:00,9136884.0807000000
2017-06-12 00:00,9980457.4960000000
2017-06-13 00:00,10490496.2354000000
2017-06-14 00:00,9917798.7562000000
2017-06-15 00:00,9007081.2912000000
2017-06-16 00:00,9919983.3374000000
2017-06-17 00:00,10120940.3618000000
2017-06-18 00:00,10207290.4494000000
2017-06-19 00:00,9530740.8040000000
2017-06-20 00:00,9587197.7227000000
2017-06-21 00:00,8619502.3184000000
2017-06-22 00:00,8504084.6189000000
2017-06-23 00:00,8659857.7592000000
2017-06-24 00:00,8392135.1982000000
2017-06-25 00:00,8282072.8448000000
2017-06-26 00:00,6665071.3033000000
2017-06-27 00:00,7742288.8576000000
2017-06-28 00:00,8102809.3365000000
2017-06-29 00:00,7821786.1389000000
2017-06-30 00:00,7193242.3581000000
2017-07-01 00:00,6892603.3813000000
2017-07-02 00:00,7421643.0235000000
2017-07-03 00:00,7349800.8955000000
2017-07-04 00:00,6719745.6678000000
2017-07-05 00:00,6970625.6297000000
2017-07-06 00:00,6549350.0824000000
2017-07-07 00:00,6356875.5401000000
2017-07-08 00:00,6299269.9511000000
2017-07-09 00:00,5291235.6643000000
2017-07-10 00:00,4710804.2467000000
2017-07-12 00:00,4972166.8061000000
2017-07-13 00:00,4731640.3958000000
2017-07-14 00:00,4581602.2690000000
2017-07-15 00:00,4155459.9359000000
2017-07-16 00:00,3389658.5959000000
2017-07-17 00:00,4235669.2102000000
2017-07-18 00:00,5679903.9840000000
2017-07-19 00:00,4926200.8361000000
2017-07-20 00:00,5239127.8704000000
2017-07-21 00:00,5064972.1818000000
2017-07-22 00:00,5418164.8848000000
2017-07-23 00:00,5318552.5253000000
2017-07-24 00:00,5338388.1815000000
2017-07-25 00:00,4760860.1061000000
2017-07-26 00:00,4752144.9379000000
2017-07-27 00:00,4815007.7837000000
2017-07-28 00:00,4630365.1335000000
2017-07-29 00:00,4680899.5848000000
2017-07-30 00:00,4589277.3063000000
2017-07-31 00:00,4192485.5832000000
2017-08-01 00:00,4625903.5909000000
2017-08-02 00:00,4441156.6720000000
2017-08-03 00:00,4606695.7769000000
